"","scenario","ssb_below_blim_total","ssb_below_blim_iter","collapse_total","collapse_iter","fmaxed_total","fmaxed_iter","yield","rel_yield","stk_pos","stk_pos2","stock","fhist","catch_rule","TAC","options","uncertainty","perfect_knowledge","HCRmult","w","b_w","b_z","upper_constraint","lower_constraint"
"1",1,0.23352,1,0.15714,0.984,0.01808,0.862,30.6442475648344,0.0744848621861704,1,1,"her-nis","one-way","3.2.1",2,"option_r:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"2",2,0.3966,1,0.31832,0.92,0.03318,0.906,55.9850335667851,0.13607896558359,1,1,"her-nis","one-way","3.2.1",2,"option_r:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"3",3,0.41194,1,0.33892,0.96,0.0367,0.952,52.6691899247636,0.128019372794297,1,1,"her-nis","one-way","3.2.1",2,"option_f:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"4",4,0.36882,0.986,0.30292,0.85,0.03324,0.854,35.4776312932781,0.0862330351554797,1,1,"her-nis","one-way","3.2.1",2,"option_f:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"5",5,0.4176,1,0.3654,1,0.041,1,6.01128483010046,0.0145450679965912,1,1,"her-nis","one-way","3.2.1",2,"option_f:c","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"6",6,0.11534,0.992,0.0682,0.518,0.00774,0.422,84.7503140314797,0.205996751837804,1,1,"her-nis","one-way","3.2.1",2,"option_b:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"7",7,0.69464,1,0.00448,0.008,0.00018,0.008,42.791195984954,0.695125878851926,2,2,"pol-nsea","one-way","3.2.1",2,"option_r:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"8",8,0.9995,1,0.88986,1,0.04058,1,5.28543969496869,0.0858598557136802,2,2,"pol-nsea","one-way","3.2.1",2,"option_r:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"9",9,0.98756,1,0.93526,0.986,0.04412,0.984,3.6246834019707,0.058881533393944,2,2,"pol-nsea","one-way","3.2.1",2,"option_f:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"10",10,0.96688,1,0.93872,0.964,0.0444,0.96,2.87835083635456,0.0467576591098003,2,2,"pol-nsea","one-way","3.2.1",2,"option_f:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"11",11,0.9434,1,0.9242,0.94,0.0436,0.94,2.61789659471314,0.0422461967216913,2,2,"pol-nsea","one-way","3.2.1",2,"option_f:c","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"12",12,0.06468,1,0,0,0,0,12.1943457343031,0.198092273433119,2,2,"pol-nsea","one-way","3.2.1",2,"option_b:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"13",13,0.94114,1,0,0,0,0,36.4255962414521,0.657141421130515,3,3,"lin-comb","one-way","3.2.1",2,"option_r:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"14",14,0.99988,1,0.85122,1,0.07426,1,7.24976996572961,0.13079056020303,3,3,"lin-comb","one-way","3.2.1",2,"option_r:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"15",15,0.9999,1,0.94018,1,0.08126,1,5.22191886736699,0.0942068089368631,3,3,"lin-comb","one-way","3.2.1",2,"option_f:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"16",16,0.49308,0.986,0.4247,0.654,0.04158,0.592,2.49775231317179,0.0450610744661433,3,3,"lin-comb","one-way","3.2.1",2,"option_f:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"17",17,0.0634,0.98,0.042,0.12,0.0056,0.08,0.434458239328877,0.00777110487236494,3,3,"lin-comb","one-way","3.2.1",2,"option_f:c","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"18",18,0.05862,0.996,0,0,0,0,10.5544399876233,0.19040895437178,3,3,"lin-comb","one-way","3.2.1",2,"option_b:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"19",19,0.98924,1,0.00032,0.01,0,0,44.907862236628,0.64045756491761,4,4,"smn-con","one-way","3.2.1",2,"option_r:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"20",20,0.96082,1,0.5613,1,0.07148,0.994,18.7500966969881,0.267406210726464,4,4,"smn-con","one-way","3.2.1",2,"option_r:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"21",21,0.99742,1,0.8714,1,0.2078,1,15.1106885981317,0.21550246085627,4,4,"smn-con","one-way","3.2.1",2,"option_f:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"22",22,0.0056,0.536,6e-05,0.002,2e-05,0.002,0.0108107117984347,0.000154177950332366,4,4,"smn-con","one-way","3.2.1",2,"option_f:b","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"23",23,1,1,0.8406,1,0.2064,1,16.45118682689,0.232031481894761,4,4,"smn-con","one-way","3.2.1",2,"option_f:c","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
"24",24,0.03948,0.996,0,0,0,0,10.0449489113336,0.143256953216252,4,4,"smn-con","one-way","3.2.1",2,"option_b:a","perfect_knowledge",FALSE,NA,NA,NA,NA,NA,NA
